id;created_at;region_id;subscribers_count;name;short_description;address
113;3 Август, 2022;5;41;Жизненный путь;"Благотворительный фонд «Жизненный путь» работает, чтобы взрослые
люди с психической инвалидностью в России могли жить независимо и
получать ту поддержку, которая им необходима.

У каждого из нас есть право на то, чтобы получить образование по душе,
построить карьеру, иметь друзей и досуг, влюбиться и создать семью.

Мы делаем все возможное, чтобы люди с инвалидностью тоже могли
прожить достойную и полную жизнь, приниать самостоятельные решения и
быть видимой и гласной частью российского общества.

Многие из наших клиентов живут дома, со своими семьями, но мы
помогаем и людям в психоневрологических интернатах (ПНИ) – огромных
государственных учреждениях, куда попадают люди, которые по какой-то
причине не могут жить полностью самостоятельно.";г. Москва, ул. Машкова, д.5с1
115;3 Август, 2022;5;15;Расправь крылья!;"Благотворительный фонд социальной помощи детям «Расправь крылья!» создан 1 июня 2007 года, в Международный день защиты детей. Основная наша задача — оказание социальной помощи детям, попавшим в трудную жизненную ситуацию, через вовлечение граждан, бизнеса и некоммерческих организаций в благотворительную деятельность.

Миссия – дать каждому обездоленному ребенку возможности для полноценной жизни.";105062, Россия, г. Москва, ул. Покровка, дом 42, стр. 5
117;3 Август, 2022;5;146;Продвижение;"""В фонд «Продвижение» пишут люди, которым нужна активная коляска. Такие коляски необходимы многим детям с самого рождения, потому что другого способа передвигаться у них не будет.

Благодаря вашей поддержке, многие люди: очень маленькие и уже взрослые — обрели возможность передвигаться, которая была им нужна, как воздух. Нужна, чтобы гулять и общаться. Работать и заниматься любимым делом. Нужна, чтобы жить.""";127422, Москва, ул Тимирязевская, д. 2/3, этаж 2, офис 200A.
118;16 Август, 2022;5;15;Живой;"Благотворительный фонд помощи взрослым ""Живой"" с 2010 года помогает тяжелобольным взрослым в оплате лечения и реабилитации.";"Юридический адрес:
Россия, 121059, Москва,
ул. Киевская, д. 14, корп. 4

Почтовый адрес:
Россия, 125090, Москва,
Протопоповский пер., 25, строение 1"
119;24 Август, 2022;5;37;Дети Плюс;"Благотворительный фонд «Дети + » с 2015г. оказывает социально-психологическую помощь семьям, воспитывающим детей с ВИЧ.
С 2005 года специалисты фонда занимались поиском новых семей детям сиротам, рожденным с ВИЧ.
НАША МИССИЯ: Создание условий для беспрепятственной социализации и взросления детей, рожденных с ВИЧ-инфекцией и другими социально значимыми заболеваниями (СЗЗ), уменьшение количества детей, рожденных с СЗЗ, изменение отношения общества к таким детям, снижение до минимума рисков стигматизации и дискриминации.
Постоянно реализуется пять программ для детей от 0 до 18 лет и молодых взрослых с ВИЧ до 35 лет.
Регулярные публикации в СМИ направлены на просвещение общества о потребностях детей с ВИЧ, снижения уровня их стигматизации из-за ВИЧ.";"129346, г.Москва, Малыгина ул.,  
дом 1, корпус 2"
120;30 Август, 2022;13;49;Долго и счастливо;"Фонд помогает пожилым людям, оказавшимся в трудной жизненной ситуации: покупает лекарства, слуховые аппараты и другие средства реабилитации для нуждающихся и одиноких пенсионеров, проводит ремонты в домах ветеранов войны.

Волонтеры регулярно привозят продукты питания и помогают по дому тем, кто не справляется сам.

Фонд также помогает лежачим пациентам в больницах со средствами по уходу и гигиене.";191002, г. Санкт-Петербург, Щербаков пер., д.12, оф.208
121;27 Октябрь, 2022;13;19;Бумажная птица;Благотворительный фонд «Детский и взрослый хоспис «Бумажная птица» с 2003г. помогает детям, которые столкнулись с неизлечимыми заболеваниями, а также с 2021г. – молодым взрослым. Фонд построил первые в России стационары детского хосписа (2010г.) и хосписа для молодых взрослых (2022г.), создает новые стационары и выездные службы помощи в регионах. Мы улучшаем качество жизни наших подопечных: содействуем организации паллиативной помощи, исполняем мечты и делаем дни подопечных ярче и комфортнее.  Мы не всегда можем продлить жизнь, но точно можем наполнить каждый день жизнью.;191186, г. Санкт-Петербург, ул. Казанская, д. 7А, лит. А, пом. 5А офис 5А
122;22 Ноябрь, 2022;13;7;Чистые Игры;"«Чистые Игры» - командные волонтёрские соревнования по очистке зеленых и береговых территорий от мусора и сортировке отходов, в которых участники выигрывают призы. В ходе игры участники используют мобильное приложение - как Pokemon Go, только с мусором.
В мероприятии участвует от 30 до 1500 человек, которые собирают за 1 час от 0,5 до 20 тонн мусора. В среднем участник такой игры может собрать в 5-10 раз больше, чем во время обычных субботников. Мероприятия проходят в формате фестиваля - с ведущим, музыкой, пикником. С 2014 года Чистые Игры прошли в 560 городах и населенных пунктах 28 стран. В общей сложности в Чистых Играх участвовали более 125 000 человек, которые собрали более 3400 тонн мусора. Всего прошло 1935 таких игр. Результатами Чистых Игр являются не только очистка лесов и берегов водоемов, но и вовлечение населения в волонтерство, экопросвещение, а также благоустройство и развитие территорий. Эти результаты соответствуют Целям Устойчивого Развития ООН, а также тематике национального проекта Экология.
«Чистые Игры» стали победителем на национальном уровне международной премии Energy Globe Award 2021 в категории «Молодежь». Награждение прошло в рамках конференции ООН по Изменениям Климата (COP26).";196084, г Санкт-Петербург, ул. Смоленская, д. 33, офис 107
123;24 Ноябрь, 2022;29;16;Сабри;Благотворительный фонд “Сабри” был создан в 2020 году активными молодыми студентами, которых объединила общая мечта — сделать окружающую действительность немного лучше и помочь тем, кто в этом нуждается. Фонд проводит благотворительные сборы для лечения детей с различными заболеваниями, у родителей которых нет финансовой возможности самим собрать необходимую сумму, оказывает поддержку приютам для бездомных животных в Москве и Московской области, занимается всесторонней поддержкой малочисленного народа езидов. В рамках работы Фонда проводится оплата необходимых исследований и анализов, ежемесячная поставка лекарственных препаратов, а также обеспечение реабилитационных программ для тяжелобольных детей, волонтерскими силами осуществляется ремонт и реконструкция приютов для бездомных животных, осуществляется просветительская и социальная помощь малочисленному народу езидов.;г. Одинцово, ул. Маршала Бирюзова, д. 2А, кв. 71
125;25 Ноябрь, 2022;40;469;Рука помощи бездомным животным;Наш Фонд «Рука помощи бездомным животным» был создан в 2013 году. И его главным проектом стал Центр по работе с бездомными животными «Питомец», на базе которого осуществляется программа доступных стерилизаций, экстренная помощь травмированным животным и поиск нового дома и хозяина для кошек и собак на попечении фонда. Наша миссия: создание комфортной городской среды для жизни, как человека, так и животного, который является полноправным членом эко-системы.;"Юридический адрес: г. Пенза, ул. Краснова, 40-375 
Фактический адрес: г. Пенза, ул. Саранская, 78, корп. 1"
126;30 Ноябрь, 2022;5;14;Линия жизни;Благотворительный фонд «Линия Жизни» создан для оказания помощи детям с заболеваниями, которые способна победить современная медицина. Мы хотим побудить людей принять участие в судьбе каждого ребенка, на долю которого выпало серьезное испытание.;127006, г. Москва, ул. Малая Дмитровка, д. 16, стр. 6.
127;12 Декабрь, 2022;5;11;Свет в руках;Помогаем каждому, кто столкнулся с репродуктивными трудностями на пути к родительству.;129090, г. Москва, Протопоповский пер., д. 25, стр.1
128;16 Декабрь, 2022;34;46;Редкие Дети;Фонд «Редкие дети» помогает детям с ультраредкими генетическими заболеваниями и детям онкоцентра Челябинской области, оказывает всестороннюю системную помощь подопечным и работает над социальными изменениями для них.;Россия, г. Челябинск, ул. Кыштымская, 7, офис 11
129;28 Декабрь, 2022;5;121;Фонд Хабенского;"Благотворительный Фонд Константина Хабенского с 2008 года помогает детям и молодым взрослым с опухолями головного и спинного мозга вовремя получать необходимую медицинскую помощь и возвращаться к полноценной жизни. 

Фонд оплачивает диагностику и лечение, организует реабилитационные программы, проводит информационную работу с аудиторией, с помощью курсов и тренингов повышает квалификацию врачей, а также помогает оснащать профильные отделения российских медицинских учреждений.";109004, г. Москва, ул. Станиславского, 21, стр. 3, 2 этаж. Бизнес-центр Фабрика Станиславского
131;18 Январь, 2023;28;14;Счастье детям;"С 2013 года фонд помогает детям реализовывать их право на социальную справедливость.

Миссия фонда - развитие гуманистического мировоззрения, духовно-нравственных ценностей, создание уникальных проектов в области медицины, образования, здорового образа жизни и, конечно же, передача всего этого тем, кто придет заниматься благотворительностью.";650040, г. Кемерово, ул. Баумана, 55
132;19 Январь, 2023;5;54;Важные люди;"Благотворительный фонд ""Важные люди"" помогает детям с нарушением двигательной активности по всей России и странам СНГ.";123001, город Москва, Вспольный пер, д. 19, этаж 5 помещ. 3, кабинет 3
133;2 Февраль, 2023;13;201;Преданное сердце;"Приют для кошек «Преданное сердце» осуществляет лечение, содержание, адаптацию, стерилизацию, вакцинацию кошек и пристраивание в новые семьи. 

В приюте более 400 подопечных, из которых 50 - животные со сложными диагнозами. Приют неклеточного типа, животные находятся на вольном содержании.

Приют активно занимается просветительской работой и повышением знаний об ответственном отношении к животным детей и взрослых. 

«Преданное сердце» проводит терапевтические экскурсии в Zoom для подопечных социальных и медицинских учреждений и ежедневно встречает гостей в приюте.";"198152, Санкт-Петербург г, Автовская ул,
дом 31, литер Б, помещение 17-Н офис 7"
135;10 Февраль, 2023;13;83;Благотворительная Больница;"«Благотворительная больница» оказывает медико-социальную помощь бездомным людям в Санкт-Петербурге с 2018 года.

Мы консультируем бездомных людей по вопросам здоровья, перевязываем раны, выдаем медикаменты и очки, вакцинируем, тестируем на социально-значимые инфекции, а в острых случаях вызываем скорую помощь и отслеживаем вызов, чтобы наш пациент
чувствовал себя в безопасности.

Важную часть нашей работы занимает информирование уличных пациентов: как восстановить паспорт и полис, записаться к врачу или получить квоту на операцию, пройти медико-социальную экспертизу, а также где постирать и высушить вещи, поесть, переночевать в тепле и безопасности.";197341, г. Санкт-Петербург, Коломяжский пр-кт, д. 19, кор. 2, лит А, офис № 20 (Бизнес Центр « Капитолий»)
136;17 Март, 2023;13;39;Помощь;Помощь детям и взрослым в борьбе с тяжёлыми диагнозами и трудными жизненными обстоятельствами по всей России.;197374, город Санкт-Петербург, Торфяная дорога, д. 7, лит. Ф, офис 721
137;17 Март, 2023;5;206;Дари Еду!;"С октября 2016 года благотворительный проект «Дари еду!» оказывает помощь продуктами питания людям, оказавшимся в сложной жизненной ситуации, - многодетным семьям, семьям с детьми инвалидами, родителям-одиночкам, взрослым инвалидам, пенсионерам, бездомным.

Мы устанавливаем специальные боксы в торговых центрах и продуктовых супермаркетах, куда покупатели могут пожертвовать продукты. А также с 2020 года организовали доставку горячих обедов для маломобильных граждан.

В 2023 мы открываем социальные кухни в Москве, Нижнем Новгороде и Ростове -на-Дону. 

Мы выбрали продукты потому, что это простой, понятный и доступный формат. Такая помощь всегда была и будет нужна людям в трудной жизненной ситуации.";123060 г. Москва, Маршала Вершинина, 10
139;16 Июнь, 2023;1;749;Жизнь без слез;"ДРОО «Жизнь без слез» была организована 30 июля 2006 г. на первой конференции родителей детей-инвалидов. 

Наша организация выполняет миссию создания детям и молодым людям с особенностями в развитии равных с другими гражданами возможностей участия во всех сферах жизни общества.

Основная цель нашей работы – изменить отношение общества к людям с особенностями в развитии.

4 направления работы ДРООПИ «Жизнь без слез»:
1.Центр лечебной педагогики и дифференцированного обучения «Дом дневного пребывания» 
2.Отделение сопровождаемой дневной занятости
3.Кафе «Время перемен»
4.Отделение мастерских «Самостоятельная жизнь»";
140;31 Июль, 2023;45;684;Сделаем Вместе;Фонд оказывает поддержку малообеспеченным семьям и людям оказавшимся в тяжелой жизненной ситуации в Республике Адыгея.;Республика Адыгея, Тахтамукайский район, пгт Энем, ул. Перова, д. 35
143;11 Август, 2023;46;61;Фонд им. Алёны Петровой;Помогаем детям с онкологическими и тяжёлыми заболеваниями. Оказываем адресную, социальную помощь и проводим реабилитацию. Объединяем усилия врачей и благотворителей, для того чтобы дети быстрее выздоравливали и радовали своих родителей.;г. Томск, пер. Никольский, 19, реабилитационный центр «Алёнка»
144;22 Август, 2023;47;79;Дедморозим;С 2012 года «Дедморозим» объединяет людей ради совершения чудес для детей-сирот и ребят со смертельно опасными заболеваниями. Никто не обязан помогать другим. Но это чудо, когда такой шанс есть. Достижения фонда в равной степени принадлежат всем участникам помощи детям. «Дедморозим» — это вы!;Пермь, ул.Данщина, 6А
146;8 Сентябрь, 2023;5;92;Второе дыхание;"Фонд «Второе дыхание» собирает и передаёт одежду людям, которым она нужна, с 2015 года. За это время более 272 000 человек из 31 региона получили помощь, и более 5000 тонн одежды нашли новых хозяев или были переработаны.

Одежду от Фонда получают многодетные и малоимущие семьи, пенсионеры, люди с ограниченными возможностями здоровья, мигранты, бездомные и другие люди в сложной жизненной ситуации. Часть вещей мы направляем в приюты для животных на подстилки. Одежду в плохом состоянии мы направляем на переработку. 

Мы устанавливаем контейнеры, чтобы каждый житель города мог экологично избавиться от одежды, которая ему больше не нужна. Все вещи поступают в Центр сортировки Фонда, их мы сортируем вручную, чтобы определить, можно ли передать её людям и носить дальше, или нужно переработать.

Так одежда становится ресурсом, который помогает людям справляться с экономическими и социальными проблемами, повышает их чувство собственного достоинства и позволяет чувствовать себя более уверенно.";Российская Федерация, 129085 г. Москва, ул. Годовикова, д. 6, этаж 1, помещение IIА, VII, комнаты 1-7, 7А, 8, 9/1-6, 6А, 7
147;27 Сентябрь, 2023;13;7;Инклюзивный центр «Йом-йом»;«Йом-йом» - это детский центр в Санкт-Петербурге, который занимается включением детей с особенностям развития в среду сверстников, помогает построить инклюзивную среду в садах и школах, делает истории детей с особенностями развития видимыми и яркими.;190000, г. Санкт-Петербург, ул. Маяковского, д. 42, литера А, пом. 9-Н.
150;7 Февраль, 2024;26;16;Дом милосердия кузнеца Лобова;"Дом милосердия кузнеца Лобова с 2018 года оказывает медико-социальную (паллиативную) помощь тяжелобольным взрослым в Ярославской области.  Работаем по программе «Отделение милосердия» — это небольшой хоспис на 20 мест, что расположился в старинной купеческой усадьбе поселка Поречье – Рыбное.  В 2020 году запустили программу «Хоспис на дому». Помощь направлена на семьи с тяжелобольным взрослым в Ярославской области, преимущественно проживающим в сельской местности. 

Ежегодно более 200 тяжелобольных человек получают комплексную поддержку команды Дома Лобова. Мы снимаем болевые симптомы, оказываем комплексную поддержку больному человеку и его семье, сохраняя семейные ценности и родственные связи. А если вдруг семьи нет, то стенами родного дома становится сам Дом милосердия.  Стремимся к цели, чтобы пожилые, тяжелобольные и одинокие люди, а также люди, утратившие способность к самообслуживанию, имели возможность получать бесплатную, качественную и профессиональную помощь 24/7. 

В результате работы  Дома Лобова в 2023 году 460 семей с тяжелобольным взрослым получили психологическую и социальную поддержку. Осуществлено 1829 патронажей.  Выдано 162 медицинских изделия по договору безвозмездного пользования. А еще патронажный автомобиль хосписа осуществил 355  перевозок тяжелобольных подопечных в медицинские учреждения.";Ярославская область, Ростовский р-н, рп. Поречье-Рыбное, ул. Кирова, д. 53
151;21 Февраль, 2024;17;93;Добро Рядом;Объединение людей с активной гражданской позицией для реализации социально-значимых программ в сфере образования, здравоохранения и спорта.;420043, Республика  Татарстан, г. Казань, ул. Вишневского, д.22,  кв. 28
154;19 Апрель, 2024;21;8;Сохраняя жизнь;"Фонд «Сохраняя жизнь» с 2008 года  оказывает помощь детям, оставшимся без попечения родителей, усыновителям и опекунам, детям пережившим насилие.

Главным направлением помощи фонда является помощь детям в детских домах, помощь усыновителям и детям в приемных семьях, профилактика социального сиротства. Также фондом развивается программа фонда по реабилитации детей, переживших насилие или тяжелую психологическую травму. 

Помощь детям в детских домах трансформируется в программу наставничества. 

Также фонд занимается развитием волонтерского движения в Оренбургской области.";г. Оренбург, ул. Орджоникидзе, 20.
156;20 Июнь, 2024;5;9;Дети наши;"С 2006 года благотворительный фонд ""Дети наши""  работает над решением проблемы сиротства в России. 
Основными целями фонда являются: 1) поддержка кризисных семей с целью предотвращения попадания детей в детские дома и их возвращения в них, 2) оказание поддержки детям, оставшимся без попечения родителей, 3) социализация детей из детских домов, 4) оказание помощи и поддержки выпускникам детских домов.";Москва, Дербеневская наб., 7с13
157;20 Июнь, 2024;5;3;Детские деревни SOS;Благотворительная организация «Детские деревни SOS» помогает детям и их родителям с 1994 года в 12 регионах России.  Основными направлениями нашей работы являются поддержка семей, попавших в кризисную ситуацию, в которых дети могут лишиться родительской опеки, помощь детям-сиротам и детям, оставшимся без попечения родителей, а также сопровождение молодых людей из различных форм опеки, вступающих в самостоятельную жизнь. Мы убеждены, что каждый ребёнок должен расти в любящей семье в атмосфере доверия, заботы, уважения и безопасности. За 30 лет работы более 28 000 детей нам удалось уберечь от социального сиротства. Эти дети не лишились заботы кровных родителей, обрели любящую семью и чувство защищённости. Вместе с приёмными родителями из шести Детских деревень SOS мы подготовили и выпустили в самостоятельную взрослую жизнь более 500 ребят, помогли им преодолеть травмы детства и реализовать свои потребности. Всю профессиональную помощь семьям и детям наши специалисты оказывают безвозмездно благодаря поддержке таких же неравнодушных людей, как и вы.;117292, Москва, ул. Кедрова, д. 5, стр. 1, офис 5
